names;taxes;banking policy;government regulations;international trade;budgets;labor and employment;Iran nuclear deal;healthcare;immigration;abortion;gay rights
Bush, Jeb;5;3;4;3;1;5;4;4;1;3;4
Carson, Benjamin S.;4;2;4;;4;5;4;;2;4;3
Christie, Christopher J.;4;4;4;1;2;4;5;5;3;4;3
Clinton, Hillary Rodham;0;1;1;0;0;0;1;0;0;0;0
Cruz, Rafael Edward 'Ted';4;4;3;3;2;4;5;5;2;5;2
Fiorina, Carly;5;3;4;4;5;5;4;5;5;4;3
Gilmore, James S IIII;;2;;;;;5;4;;5;
Graham, Lindsey O.;5;3;2;3;1;1;4;2;4;4;4
Huckabee, Mike;5;1;4;4;4;4;5;2;3;4;2
Jindal, Bobby;5;;2;3;4;;5;4;5;4;4
Johnson, Gary;4;;;;;;;;;;
Kasich, John R.;4;4;5;2;4;4;4;3;5;4;2
Lessig, Lawrence;3;;3;1;2;;;0;;;4
O'Malley, Martin Joseph;2;3;2;5;1;1;1;1;1;0;0
Pataki, George E.;4;4;5;4;1;4;5;4;2;3;2
Paul, Rand;5;4;3;3;5;5;4;5;4;5;3
Perry, James R. (Rick);4;;5;2;2;;5;4;4;4;4
Rubio, Marco;3;3;2;4;4;5;4;1;1;4;4
Sanders, Bernard;1;0;1;5;1;0;0;0;0;0;0
Santorum, Richard J.;2;1;2;1;2;3;1;1;0;4;3
Stein, Jill;5;;;;;;;;;;
Trump, Donald J.;5;4;5;5;5;5;5;4;5;4;4
Walker, Scott;3;;5;1;2;;5;4;4;4;3
Webb, James Henry Jr.;3;;3;5;3;;4;3;1;1;3
