"name1","name2","money"
"Paul, Rand", "Cruz, Rafael Edward 'Ted'", "489413"
"Paul, Rand", "Carson, Benjamin S.", "215292"
"Paul, Rand", "Rubio, Marco", "134392"
"Paul, Rand", "Graham, Lindsey O.", "5115.57"
"Paul, Rand", "Clinton, Hillary Rodham", "25953"
"Paul, Rand", "Webb, James Henry Jr.", "5650"
"Paul, Rand", "Fiorina, Carly", "60215.3"
"Paul, Rand", "Huckabee, Mike", "13851.8"
"Paul, Rand", "Santorum, Richard J.", "576.419"
"Paul, Rand", "O'Malley, Martin Joseph", "4200"
"Paul, Rand", "Jindal, Bobby", "2214.74"
"Paul, Rand", "Sanders, Bernard", "43517.4"
"Paul, Rand", "Pataki, George E.", "2900"
"Paul, Rand", "Perry, James R. (Rick)", "2378.2"
"Paul, Rand", "Bush, Jeb", "30481.5"
"Paul, Rand", "Trump, Donald J.", "77794.4"
"Paul, Rand", "Stein, Jill", "52.9634"
"Paul, Rand", "Walker, Scott", "63034.9"
"Paul, Rand", "Christie, Christopher J.", "7040.76"
"Paul, Rand", "Kasich, John R.", "43167"
"Paul, Rand", "Gilmore, James S IIII", "0"
"Paul, Rand", "Lessig, Lawrence", "6132.21"
"Paul, Rand", "Johnson, Gary", "42856.7"
"Cruz, Rafael Edward 'Ted'", "Carson, Benjamin S.", "1.84027e+06"
"Cruz, Rafael Edward 'Ted'", "Rubio, Marco", "1.53697e+06"
"Cruz, Rafael Edward 'Ted'", "Graham, Lindsey O.", "143195"
"Cruz, Rafael Edward 'Ted'", "Clinton, Hillary Rodham", "136813"
"Cruz, Rafael Edward 'Ted'", "Webb, James Henry Jr.", "1704.54"
"Cruz, Rafael Edward 'Ted'", "Fiorina, Carly", "533493"
"Cruz, Rafael Edward 'Ted'", "Huckabee, Mike", "191343"
"Cruz, Rafael Edward 'Ted'", "Santorum, Richard J.", "40592.4"
"Cruz, Rafael Edward 'Ted'", "O'Malley, Martin Joseph", "10242.3"
"Cruz, Rafael Edward 'Ted'", "Jindal, Bobby", "51046.9"
"Cruz, Rafael Edward 'Ted'", "Sanders, Bernard", "15484.7"
"Cruz, Rafael Edward 'Ted'", "Pataki, George E.", "2163.3"
"Cruz, Rafael Edward 'Ted'", "Perry, James R. (Rick)", "118965"
"Cruz, Rafael Edward 'Ted'", "Bush, Jeb", "414039"
"Cruz, Rafael Edward 'Ted'", "Trump, Donald J.", "178884"
"Cruz, Rafael Edward 'Ted'", "Stein, Jill", "0"
"Cruz, Rafael Edward 'Ted'", "Walker, Scott", "563047"
"Cruz, Rafael Edward 'Ted'", "Christie, Christopher J.", "75099.2"
"Cruz, Rafael Edward 'Ted'", "Kasich, John R.", "132716"
"Cruz, Rafael Edward 'Ted'", "Gilmore, James S IIII", "957.883"
"Cruz, Rafael Edward 'Ted'", "Lessig, Lawrence", "2025"
"Cruz, Rafael Edward 'Ted'", "Johnson, Gary", "6285.4"
"Carson, Benjamin S.", "Rubio, Marco", "756540"
"Carson, Benjamin S.", "Graham, Lindsey O.", "19175.6"
"Carson, Benjamin S.", "Clinton, Hillary Rodham", "41389.9"
"Carson, Benjamin S.", "Webb, James Henry Jr.", "0"
"Carson, Benjamin S.", "Fiorina, Carly", "390275"
"Carson, Benjamin S.", "Huckabee, Mike", "66437.5"
"Carson, Benjamin S.", "Santorum, Richard J.", "15969.2"
"Carson, Benjamin S.", "O'Malley, Martin Joseph", "3950"
"Carson, Benjamin S.", "Jindal, Bobby", "28171"
"Carson, Benjamin S.", "Sanders, Bernard", "19054.3"
"Carson, Benjamin S.", "Pataki, George E.", "1350"
"Carson, Benjamin S.", "Perry, James R. (Rick)", "14063.3"
"Carson, Benjamin S.", "Bush, Jeb", "165011"
"Carson, Benjamin S.", "Trump, Donald J.", "132147"
"Carson, Benjamin S.", "Stein, Jill", "0"
"Carson, Benjamin S.", "Walker, Scott", "231565"
"Carson, Benjamin S.", "Christie, Christopher J.", "33509.3"
"Carson, Benjamin S.", "Kasich, John R.", "180206"
"Carson, Benjamin S.", "Gilmore, James S IIII", "909.091"
"Carson, Benjamin S.", "Lessig, Lawrence", "0"
"Carson, Benjamin S.", "Johnson, Gary", "4315.83"
